Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Description,Image,Is gift Card?,Price,Price Formatted,Compare at Price,Compare at price Formatted,Vendor,Collections,SEO Title,SEO Description,Product Type,Shopify ID,tamanho_da_caixa,Tipo de Tela,ped_metro,monitoramento_de_sono,sa_de_feminina,ecg,press_o_arterial,frequ_ncia_card_aca,oxig_nio_no_sangue,acompanha_carregador,capacidade_da_bateria,b_ssola,bluetooth,dura_o_da_bateria,com_gps,mem_ria_interna,m_sica_local,leitor_de_e_books,gravador_de_voz,com_chat_gpt,tamanho_display,com_wi_fi,rede_m_vel,com_nfc,assistente_de_voz,aplicativo,controle_de_m_sica,url,shpid,Cor 1,Cor 2,Cor 3,Descrição Longa
</div>",https://cdn.prod.website-files.com/67f999d0187eaee5fc47b5d4/67f999d0187eaee5fc47b6b6_470dfb59-eabe-4732-a391-ee5af7f3707b.jpeg,false,90,$89.90,170,$169.90,minha-loja,pulseiras,Pulseira Loop Alpina Estrelar,"A pulseira loop Trail fina e leve é feita de uma trama de nylon macia, oferecendo suavidade e mais elasticidade para ...",Pulseira,gid://shopify/Product/9687919722779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A pulseira loop Trail fina e leve é feita de uma trama de nylon macia, oferecendo suavidade e mais elasticidade para um ajuste confortável. Ela se ajusta com perfeição por meio de uma alça fácil de puxar para ajustes rápidos durante suas atividades."
Pulseira Loop Alpina Laranja,pulseira-loop-alpina-laranja,67f999d0187eaee5fc47b5d6,67f999d0187eaee5fc47b5c1,67f999d0187eaee5fc47b683,false,false,Mon Sep 23 2024 16:33:26 GMT+0000 (Coordinated Universal Time),Mon Feb 10 2025 16:56:02 GMT+0000 (Coordinated Universal Time),,"<div data-widget_type=""jet-single-excerpt.default"" data-element_type=""widget"" data-id=""3229eb6"" class=""elementor-element elementor-element-3229eb6 elementor-widget elementor-widget-jet-single-excerpt"">
<div class=""elementor-widget-container"">
<div class=""elementor-jet-single-excerpt jet-woo-builder"">
<div class=""woocommerce-product-details__short-description"">
<div class=""elementor-element elementor-element-3229eb6 elementor-widget elementor-widget-jet-single-excerpt"" data-id=""3229eb6"" data-element_type=""widget"" data-widget_type=""jet-single-excerpt.default"">
<div class=""elementor-widget-container"">
<div class=""elementor-jet-single-excerpt jet-woo-builder"">
<div class=""woocommerce-product-details__short-description"">
<div class=""elementor-element elementor-element-3229eb6 elementor-widget elementor-widget-jet-single-excerpt"" data-id=""3229eb6"" data-element_type=""widget"" data-widget_type=""jet-single-excerpt.default"">
<div class=""elementor-widget-container"">
<div class=""elementor-jet-single-excerpt jet-woo-builder"">
<div class=""woocommerce-product-details__short-description"">
<p>A pulseira loop Trail fina e leve é feita de uma trama de nylon macia, oferecendo suavidade e mais elasticidade para um ajuste confortável. Ela se ajusta com perfeição por meio de uma alça fácil de puxar para ajustes rápidos durante suas atividades.</p>
</div>
</div>
</div>
</div>
<div class=""elementor-element elementor-element-284d85b elementor-widget__width-auto elementor-widget elementor-widget-heading"" data-id=""284d85b"" data-element_type=""widget"" data-widget_type=""heading.default"">
<div class=""elementor-widget-container""><br></div>
</div>
</div>
</div>
</div>
</div>
<div class=""elementor-element elementor-element-284d85b elementor-widget__width-auto elementor-widget elementor-widget-heading"" data-id=""284d85b"" data-element_type=""widget"" data-widget_type=""heading.default"">
<div class=""elementor-widget-container""><br></div>
</div>
</div>
</div>
</div>
</div>",https://cdn.prod.website-files.com/67f999d0187eaee5fc47b5d4/67f999d0187eaee5fc47b6b4_aee634bf-2207-4b0f-9a50-652477efa29f_59eb59af-c291-4478-9ffc-33399b08816f.jpeg,false,90,$89.90,170,$169.90,minha-loja,pulseiras,Pulseira Loop Alpina Laranja,"A pulseira loop Trail fina e leve é feita de uma trama de nylon macia, oferecendo suavidade e mais elasticidade para ...",Pulseira,gid://shopify/Product/9687922016539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A pulseira loop Trail fina e leve é feita de uma trama de nylon macia, oferecendo suavidade e mais elasticidade para um ajuste confortável. Ela se ajusta com perfeição por meio de uma alça fácil de puxar para ajustes rápidos durante suas atividades."
Pulseira Loop Alpina Verde,pulseira-loop-alpina-verde,67f999d0187eaee5fc47b5d6,67f999d0187eaee5fc47b5c1,67f999d0187eaee5fc47b684,false,false,Mon Sep 23 2024 16:33:28 GMT+0000 (Coordinated Universal Time),Mon Feb 10 2025 16:56:02 GMT+0000 (Coordinated Universal Time),,"<div data-widget_type=""jet-single-excerpt.default"" data-element_type=""widget"" data-id=""3229eb6"" class=""elementor-element elementor-element-3229eb6 elementor-widget elementor-widget-jet-single-excerpt"">
<div class=""elementor-widget-container"">
<div class=""elementor-jet-single-excerpt jet-woo-builder"">
<div class=""woocommerce-product-details__short-description"">
<div class=""elementor-element elementor-element-3229eb6 elementor-widget elementor-widget-jet-single-excerpt"" data-id=""3229eb6"" data-element_type=""widget"" data-widget_type=""jet-single-excerpt.default"">
<div class=""elementor-widget-container"">
<div class=""elementor-jet-single-excerpt jet-woo-builder"">
<div class=""woocommerce-product-details__short-description"">
<div class=""elementor-element elementor-element-3229eb6 elementor-widget elementor-widget-jet-single-excerpt"" data-id=""3229eb6"" data-element_type=""widget"" data-widget_type=""jet-single-excerpt.default"">
<div class=""elementor-widget-container"">
<div class=""elementor-jet-single-excerpt jet-woo-builder"">
<div class=""woocommerce-product-details__short-description"">
<p>A pulseira loop Trail fina e leve é feita de uma trama de nylon macia, oferecendo suavidade e mais elasticidade para um ajuste confortável. Ela se ajusta com perfeição por meio de uma alça fácil de puxar para ajustes rápidos durante suas atividades.</p>
</div>
</div>
</div>
</div>
<div class=""elementor-element elementor-element-284d85b elementor-widget__width-auto elementor-widget elementor-widget-heading"" data-id=""284d85b"" data-element_type=""widget"" data-widget_type=""heading.default"">
<div class=""elementor-widget-container""><br></div>
</div>
</div>
</div>
</div>
</div>
<div class=""elementor-element elementor-element-284d85b elementor-widget__width-auto elementor-widget elementor-widget-heading"" data-id=""284d85b"" data-element_type=""widget"" data-widget_type=""heading.default"">
<div class=""elementor-widget-container""><br></div>
</div>
</div>
</div>
</div>
</div>",https://cdn.prod.website-files.com/67f999d0187eaee5fc47b5d4/67f999d0187eaee5fc47b6ad_2.jpeg,false,90,$89.90,170,$169.90,minha-loja,pulseiras,Pulseira Loop Alpina Verde,"A pulseira loop Trail fina e leve é feita de uma trama de nylon macia, oferecendo suavidade e mais elasticidade para ...",Pulseira,gid://shopify/Product/9687925031195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A pulseira loop Trail fina e leve é feita de uma trama de nylon macia, oferecendo suavidade e mais elasticidade para um ajuste confortável. Ela se ajusta com perfeição por meio de uma alça fácil de puxar para ajustes rápidos durante suas atividades."
Pulseira Loop Trail Azul Cinza,pulseira-loop-trail-azul-cinza,67f999d0187eaee5fc47b5d6,67f999d0187eaee5fc47b5c1,67f999d0187eaee5fc47b681,false,false,Mon Sep 23 2024 16:33:20 GMT+0000 (Coordinated Universal Time),Mon Feb 10 2025 16:56:02 GMT+0000 (Coordinated Universal Time),,"<div data-widget_type=""jet-single-excerpt.default"" data-element_type=""widget"" data-id=""3229eb6"" class=""elementor-element elementor-element-3229eb6 elementor-widget elementor-widget-jet-single-excerpt"">
<div class=""elementor-widget-container"">
<div class=""elementor-jet-single-excerpt jet-woo-builder"">
<div class=""woocommerce-product-details__short-description"">
<div class=""elementor-element elementor-element-3229eb6 elementor-widget elementor-widget-jet-single-excerpt"" data-id=""3229eb6"" data-element_type=""widget"" data-widget_type=""jet-single-excerpt.default"">
<div class=""elementor-widget-container"">
<div class=""elementor-jet-single-excerpt jet-woo-builder"">
<div class=""woocommerce-product-details__short-description"">
<div class=""elementor-element elementor-element-3229eb6 elementor-widget elementor-widget-jet-single-excerpt"" data-id=""3229eb6"" data-element_type=""widget"" data-widget_type=""jet-single-excerpt.default"">
<div class=""elementor-widget-container"">
<div class=""elementor-jet-single-excerpt jet-woo-builder"">
<div class=""woocommerce-product-details__short-description"">
<p>A pulseira loop Trail fina e leve é feita de uma trama de nylon macia, oferecendo suavidade e mais elasticidade para um ajuste confortável. Ela se ajusta com perfeição por meio de uma alça fácil de puxar para ajustes rápidos durante suas atividades.</p>
</div>
</div>
</div>
</div>
<div class=""elementor-element elementor-element-284d85b elementor-widget__width-auto elementor-widget elementor-widget-heading"" data-id=""284d85b"" data-element_type=""widget"" data-widget_type=""heading.default"">
<div class=""elementor-widget-container""><br></div>
</div>
</div>
</div>
</div>
</div>
<div class=""elementor-element elementor-element-284d85b elementor-widget__width-auto elementor-widget elementor-widget-heading"" data-id=""284d85b"" data-element_type=""widget"" data-widget_type=""heading.default"">
<div class=""elementor-widget-container""><br></div>
</div>
</div>
</div>
</div>
</div>",https://cdn.prod.website-files.com/67f999d0187eaee5fc47b5d4/67f999d0187eaee5fc47b696_18c5d60d-f7d9-44e5-82a6-174fb8b157d0.jpeg,false,90,$89.90,170,$169.90,minha-loja,pulseiras,Pulseira Loop Trail Azul Cinza,"A pulseira loop Trail fina e leve é feita de uma trama de nylon macia, oferecendo suavidade e mais elasticidade para ...",Pulseira,gid://shopify/Product/9687909531931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A pulseira loop Trail fina e leve é feita de uma trama de nylon macia, oferecendo suavidade e mais elasticidade para um ajuste confortável. Ela se ajusta com perfeição por meio de uma alça fácil de puxar para ajustes rápidos durante suas atividades."
Pulseira Loop Trail Cinza Amarela,pulseira-loop-trail-cinza-amarela,67f999d0187eaee5fc47b5d6,67f999d0187eaee5fc47b5c1,67f999d0187eaee5fc47b67f,false,false,Mon Sep 23 2024 16:33:14 GMT+0000 (Coordinated Universal Time),Mon Feb 10 2025 16:56:02 GMT+0000 (Coordinated Universal Time),,"<div data-widget_type=""jet-single-excerpt.default"" data-element_type=""widget"" data-id=""3229eb6"" class=""elementor-element elementor-element-3229eb6 elementor-widget elementor-widget-jet-single-excerpt"">
<div class=""elementor-widget-container"">
<div class=""elementor-jet-single-excerpt jet-woo-builder"">
<div class=""woocommerce-product-details__short-description"">
<div class=""elementor-element elementor-element-3229eb6 elementor-widget elementor-widget-jet-single-excerpt"" data-id=""3229eb6"" data-element_type=""widget"" data-widget_type=""jet-single-excerpt.default"">
<div class=""elementor-widget-container"">
<div class=""elementor-jet-single-excerpt jet-woo-builder"">
<div class=""woocommerce-product-details__short-description"">
<div class=""elementor-element elementor-element-3229eb6 elementor-widget elementor-widget-jet-single-excerpt"" data-id=""3229eb6"" data-element_type=""widget"" data-widget_type=""jet-single-excerpt.default"">
<div class=""elementor-widget-container"">
<div class=""elementor-jet-single-excerpt jet-woo-builder"">
<div class=""woocommerce-product-details__short-description"">
<p>A pulseira loop Trail fina e leve é feita de uma trama de nylon macia, oferecendo suavidade e mais elasticidade para um ajuste confortável. Ela se ajusta com perfeição por meio de uma alça fácil de puxar para ajustes rápidos durante suas atividades.</p>
</div>
</div>
</div>
</div>
<div class=""elementor-element elementor-element-284d85b elementor-widget__width-auto elementor-widget elementor-widget-heading"" data-id=""284d85b"" data-element_type=""widget"" data-widget_type=""heading.default"">
<div class=""elementor-widget-container""><br></div>
</div>
</div>
</div>
</div>
</div>
<div class=""elementor-element elementor-element-284d85b elementor-widget__width-auto elementor-widget elementor-widget-heading"" data-id=""284d85b"" data-element_type=""widget"" data-widget_type=""heading.default"">
<div class=""elementor-widget-container""><br></div>
</div>
</div>
</div>
</div>
</div>",https://cdn.prod.website-files.com/67f999d0187eaee5fc47b5d4/67f999d0187eaee5fc47b695_0b73e0be-7efb-4732-bedd-00a7642cbdc7.jpeg,false,90,$89.90,170,$169.90,minha-loja,pulseiras,Pulseira Loop Trail Cinza Amarela,"A pulseira loop Trail fina e leve é feita de uma trama de nylon macia, oferecendo suavidade e mais elasticidade para ...",Pulseira,gid://shopify/Product/9687901700379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A pulseira loop Trail fina e leve é feita de uma trama de nylon macia, oferecendo suavidade e mais elasticidade para um ajuste confortável. Ela se ajusta com perfeição por meio de uma alça fácil de puxar para ajustes rápidos durante suas atividades."
Pulseira Loop Trail Cinza Preta,pulseira-loop-trail-cinza-preta,67f999d0187eaee5fc47b5d6,67f999d0187eaee5fc47b5c1,67f999d0187eaee5fc47b680,false,false,Mon Sep 23 2024 16:33:16 GMT+0000 (Coordinated Universal Time),Mon Feb 10 2025 16:56:02 GMT+0000 (Coordinated Universal Time),,"<div data-widget_type=""jet-single-excerpt.default"" data-element_type=""widget"" data-id=""3229eb6"" class=""elementor-element elementor-element-3229eb6 elementor-widget elementor-widget-jet-single-excerpt"">
<div class=""elementor-widget-container"">
<div class=""elementor-jet-single-excerpt jet-woo-builder"">
<div class=""woocommerce-product-details__short-description"">
<div class=""elementor-element elementor-element-3229eb6 elementor-widget elementor-widget-jet-single-excerpt"" data-id=""3229eb6"" data-element_type=""widget"" data-widget_type=""jet-single-excerpt.default"">
<div class=""elementor-widget-container"">
<div class=""elementor-jet-single-excerpt jet-woo-builder"">
<div class=""woocommerce-product-details__short-description"">
<div class=""elementor-element elementor-element-3229eb6 elementor-widget elementor-widget-jet-single-excerpt"" data-id=""3229eb6"" data-element_type=""widget"" data-widget_type=""jet-single-excerpt.default"">
<div class=""elementor-widget-container"">
<div class=""elementor-jet-single-excerpt jet-woo-builder"">
<div class=""woocommerce-product-details__short-description"">
<p>A pulseira loop Trail fina e leve é feita de uma trama de nylon macia, oferecendo suavidade e mais elasticidade para um ajuste confortável. Ela se ajusta com perfeição por meio de uma alça fácil de puxar para ajustes rápidos durante suas atividades.</p>
</div>
</div>
</div>
</div>
<div class=""elementor-element elementor-element-284d85b elementor-widget__width-auto elementor-widget elementor-widget-heading"" data-id=""284d85b"" data-element_type=""widget"" data-widget_type=""heading.default"">
<div class=""elementor-widget-container""><br></div>
</div>
</div>
</div>
</div>
</div>
<div class=""elementor-element elementor-element-284d85b elementor-widget__width-auto elementor-widget elementor-widget-heading"" data-id=""284d85b"" data-element_type=""widget"" data-widget_type=""heading.default"">
<div class=""elementor-widget-container""><br></div>
</div>
</div>
</div>
</div>
</div>",https://cdn.prod.website-files.com/67f999d0187eaee5fc47b5d4/67f999d0187eaee5fc47b697_f7f6b881-65ae-413b-be91-4b10ed301eb9.jpeg,false,90,$89.90,170,$169.90,minha-loja,pulseiras,Pulseira Loop Trail Cinza Preta,"A pulseira loop Trail fina e leve é feita de uma trama de nylon macia, oferecendo suavidade e mais elasticidade para ...",Pulseira,gid://shopify/Product/9687907991835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pulseira Milanes Dourada,pulseira-milanes-dourada,67f999d0187eaee5fc47b5d6,67f999d0187eaee5fc47b5c1,67f999d0187eaee5fc47b67b,false,false,Mon Sep 23 2024 16:33:04 GMT+0000 (Coordinated Universal Time),Mon Feb 10 2025 16:56:02 GMT+0000 (Coordinated Universal Time),,"<div data-widget_type=""jet-single-excerpt.default"" data-element_type=""widget"" data-id=""3229eb6"" class=""elementor-element elementor-element-3229eb6 elementor-widget elementor-widget-jet-single-excerpt"">
<div class=""elementor-widget-container"">
<div class=""elementor-jet-single-excerpt jet-woo-builder"">
<div class=""woocommerce-product-details__short-description"">
<p>Uma interpretação moderna do design criado em Milão no final do século&nbsp;XIX. Feita em máquinas italianas especializadas, a trama de aço inoxidável flexível das pulseiras envolve o pulso com suavidade. Como é magnética, a pulseira em estilo&nbsp;milanês se ajusta com perfeição. E, usando o processo de deposição física de vapor (PVD), uma camada adicional dá uma aparência diferenciada ao aço inoxidável dourado.</p>
</div>
</div>
</div>
</div>",https://cdn.prod.website-files.com/67f999d0187eaee5fc47b5d4/67f999d0187eaee5fc47b651_c58172f5-3328-4693-91d1-35d1648f11c4.jpeg,false,90,$89.90,170,$169.90,minha-loja,pulseiras,Pulseira Milanes Dourada,Uma interpretação moderna do design criado em Milão no final do século XIX. Feita em máquinas italianas especializada...,Pulseira,gid://shopify/Product/9687849632027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Uma interpretação moderna do design criado em Milão no final do século XIX. Feita em máquinas italianas especializadas, a trama de aço inoxidável flexível das pulseiras envolve o pulso com suavidade. Como é magnética, a pulseira em estilo milanês se ajusta com perfeição. E, usando o processo de deposição física de vapor (PVD), uma camada adicional dá uma aparência diferenciada ao aço inoxidável dourado."
Pulseira Milanes Grafite,pulseira-milanes-grafite,67f999d0187eaee5fc47b5d6,67f999d0187eaee5fc47b5c1,67f999d0187eaee5fc47b679,false,false,Mon Sep 23 2024 16:32:59 GMT+0000 (Coordinated Universal Time),Mon Feb 10 2025 16:56:02 GMT+0000 (Coordinated Universal Time),,"<div data-widget_type=""jet-single-excerpt.default"" data-element_type=""widget"" data-id=""3229eb6"" class=""elementor-element elementor-element-3229eb6 elementor-widget elementor-widget-jet-single-excerpt"">
<div class=""elementor-widget-container"">
<div class=""elementor-jet-single-excerpt jet-woo-builder"">
<div class=""woocommerce-product-details__short-description"">
<p>Uma interpretação moderna do design criado em Milão no final do século&nbsp;XIX. Feita em máquinas italianas especializadas, a trama de aço inoxidável flexível das pulseiras envolve o pulso com suavidade. Como é magnética, a pulseira em estilo&nbsp;milanês se ajusta com perfeição. E, usando o processo de deposição física de vapor (PVD), uma camada adicional dá uma aparência diferenciada ao aço inoxidável dourado.</p>
</div>
</div>
</div>
